NO,NAMA KAMERA,LOKASI,RINCIAN LOKASI,X_KOOR,Y_KOOR,JARINGAN,NVR,MERK,MODEL
1,BUNDARAN WARU PTZ,RUAS,Bundaran Waru arah keluar kota,112.7292683,-7.345983874,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
2,BUNDARAN WARU ARAH TOL PTZ,RUAS,Bundaran Waru arah masuk tol,112.7275055,-7.347602778,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
3,BUNDARAN WARU CITO PTZ,RUAS,Bundaran Waru depan CITO arah masuk kota,"112,728,923","-7,345,673",KOMINFO,SELATAN,Unidentified,Unidentified
4,DUKUH MENANGGAL BUNDARAN WARU,RUAS,Unidentified,"112,725,053","-7,346,578",KOMINFO,SELATAN,Unidentified,Unidentified
5,BUNDARAN WARU,RUAS,Unidentified,"112,727,899","-7,347,716",TELKOM,SELATAN,Unidentified,Unidentified
6,FRONTAGE A.YANI CAREFOUR,RUAS,Frontage Ahmad Yani Depan Trans Icon Hadap Utara,"112,729,174","-7,339,572",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
7,GAYUNGSARI BARAT SISI UTARA FIX,SIMPANG,Simpang Gayungsari Barat Hadap Utara,112.7191119,-7.337361047,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
8,GAYUNGSARI BARAT SISI SELATAN FIX,SIMPANG,Simpang Gayungsari Barat Hadap Selatan,112.718958,-7.33753694,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
9,GAYUNGSARI BARAT SISI BARAT FIX,SIMPANG,Simpang Gayungsari Barat Hadap Barat,112.7191123,-7.337487081,TELKOM,SELATAN,HIKVISION,MVS-414232-IRMVF
10,MASJID AGUNG PTZ,RUAS,Unidentified,112.7140478,-7.337617633,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
11,MASJID AGUNG TIMUR FIX,RUAS,Unidentified,"112,716,528","-7,337,077",KOMINFO,SELATAN,Unidentified,Unidentified
12,PAGESANGAN PTZ,RUAS,Jl. Pagesangan - Sepanjang Tani (perbatasan SBY- Sidoarjo),112.7055359,-7.336862594,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
13,FR SIWALANKERTO UTARA FIX,SIMPANG,Frontage Siwalankerto hadap utara,112.7301018,-7.337260216,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
14,FR SIWALANKERTO SELATAN FIX,SIMPANG,Frontage Siwalankerto hadap selatan,112.7300141,-7.337372867,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
15,FR SIWALANKERTO PANO ,SIMPANG,Frontage Siwalankerto hadap,112.7301315,-7.337397891,TELKOM,SELATAN,HIKVISION,DS-2CD6986F-H
16,AHMAD YANI - SIWALANKERTO PTZ,RUAS,Ahmad Yani - Siwalankerto Hadap Selatan,"112,729,451","-7,337,379",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
17,FRONTAGE A YANI BRI JEMURSARI UTARA FIX,SIMPANG,Frontage Ahmad Yani Depan BRI Hadap Utara,112.7308197,-7.331287965,KOMINFO,SELATAN,HIKVISION,MVS-414232-IRMVF
18,A YANI PAPILIO UTARA FIX,SIMPANG,Ahmad Yani  Depan Hotel Papilio Hadap Utara,112.7310598,-7.331377662,KOMINFO,SELATAN,HIKVISION,MVS-414232-IRMVF
19,A YANI JEMUR ANDAYANI DOME,SIMPANG,Frontage Ahmad Yani Depan BRI Hadap Selatan,112.7309893,-7.331569514,KOMINFO,SELATAN,HIKVISION,MS-91021-IR-SD-OD
20,AHMAD YANI KEBONSARI SELATAN FIX,RUAS,Unidentified,"112,730,783","-7,329,768",TELKOM,Unidentified,Unidentified,Unidentified
21,A YANI TAMAN PELANGI PTZ,SIMPANG,A Yani Taman Pelangi arah masuk kota,112.7311182,-7.328297422,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
22,A YANI JEMURSARI PTZ,SIMPANG,A Yani jemursari arah luar kota,112.731593,-7.326489635,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
23,A YANI DOLOG PTZ,SIMPANG,A Yani  Dolog selatan pos polisi,112.731554,-7.32725011,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
24,A YANI DOLOG UTARA SPC,SIMPANG,A Yani  Dolog selatan pos polisi,"112,731,836","-7,326,571",KOMINFO,SELATAN,Unidentified,Unidentified
25,TAMAN PELANGI DOLOG PTZ,SIMPANG,Unidentified,"112,731,094","-7,326,518",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
26,PCTL A YANI DOLOG PTZ,RUAS,Unidentified,112.73223,-7.3246755,TELKOM,SELATAN,Unidentified,Unidentified
27,A YANI KFC PANO,SIMPANG,Simpang Ahmad Yani KFC Hadap Barat,"112,733,088","-7,319,190",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
28,A YANI KFC SELATAN PTZ,SIMPANG,Simpang Ahmad Yani KFC Hadap Selatan,"112,733,064","-7,319,230",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
29,A YANI KETINTANG BARU SELATAN PTZ,SIMPANG,Simpang Ahmad Yani Jalur Utama Hadap Selatan,"112,733,238","-7,319,249",KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
30,A YANI MARGOREJO PTZ,SIMPANG,Simpang A. Yani - Margorejo (jalur hijau),112.733966,-7.316351945,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
31,A YANI MARGOREJO SELATAN FIX,SIMPANG,Simpang A. Yani - Margorejo (bando-hadap selatan),112.7338706,-7.316396936,KOMINFO,SELATAN,HIKVISION,DS.2CD7A85G0-IZSP/AI
32,A YANI MARGOREJO UTARA FIX,SIMPANG,Simpang A. Yani - Margorejo (bando-hadap utara),112.7340714,-7.316194657,KOMINFO,SELATAN,HIKVISION,DS.2CD7A85G0-IZSP/AI
33,A YANI MARGOREJO TIMUR FIX,SIMPANG,Simpang Ahmad Yani - Margorejo Hadap Timur,112.7343667,-7.316446009,KOMINFO,SELATAN,HIKVISION,DS-2CD8264F-EI 
34,FRONTAGE MARGOREJO UTARA FIX,SIMPANG,Simpang Ahmad Yani - Frontage Margorejo hadap utara,112.734247,-7.316228402,KOMINFO,SELATAN,HIKVISION,DS-2CD8264F-EI 
35,KETINTANG ROYAL PLAZA PANO,RUAS,Pertigaan Royal Plasa-Jl Ketintang,112.7350221,-7.310500355,TELKOM,SELATAN,HIKVISION,DS-2CD6986F-H
36,FRONTAGE RSAL PTZ,RUAS,Frontage A. Yani (RSAL) Hadap Selatan,112.736137,-7.307523,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
37,A YANI MAYANGKARA DOME,SIMPANG,A Yani Mayangkara selatan layang mayangkara,112.7355771,-7.30832014,KOMINFO,SELATAN,MAGIC VISION,MV-90202-SD
38,WONOKROMO MAYANGKARA DOME,SIMPANG,Simpang A. Yani - Layang Mayangkara,112.7356435,-7.307341832,KOMINFO,SELATAN,MAGIC VISION,MV-91021-IR
39,WONOKROMO RSI DOME,RUAS,Wonokromo RSI Hadap Selatan,112.7355931,-7.306124744,TELKOM,SELATAN,MAGIC VISION,MVS-414232-IRMVF
40,UTURN FLYOVER MAYANGKARA,SIMPANG,Flyover mayangkara pos polisi hadap ,112.736678,-7.304514928,KOMINFO,SELATAN,HIKVISION,DS-2DY3320IW-DE
41,FLYOVER MAYANGKARA DOME,SIMPANG,Flyover mayangkara pos polisi hadap ,112.736678,-7.304514928,KOMINFO,SELATAN,MAGIC VISION,MV-91021-IR
42,WONOKROMO DTC TIMUR DOME,RUAS,Simpang Jl. Jagir - Jl. Wonokromo (sisi timur),112.7381331,-7.30301332,TELKOM,SELATAN,MAGIC VISION,MV-9048-812-SD
43,WONOKROMO DTC BARAT Hadap Utara PTZ,RUAS,Pintu masuk DTC Wonokromo Hadap Utara,"112,737,187","-7,301,415",TELKOM,SELATAN,HIKVISION,DS-2CD4232FWD-IZS
44,WONOKROMO DTC BARAT Hadap Selatan FIX,RUAS,Pintu masuk DTC Wonokromo Hadap Selatan,"112,737,187","-7,301,415",TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
45,JEMBATAN JOYOBOYO,RUAS,Jembatan Wonokromo Hadap Utara,"112,737,409","-7,300,634",TELKOM,SELATAN,HIKVISION,Unidentified
46,JEMBATAN WONOKROMO FIX,RUAS,Jembatan Wonokromo Hadap Selatan,"112,737,409","-7,300,634",TELKOM,SELATAN,HIKVISION,Unidentified
47,JOYOBOYO PTZ,RUAS,Depan Terminal Joyoboyo Hadap Utara,112.737653,-7.298447,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
48,JEMBATAN SAWUNGGALING PTZ,RUAS,Jembatan Sawunggaling Hadap Utara,"112,737,373","-7,299,285",TELKOM,SELATAN,Unidentified,Unidentified
49,WARNING LIGHT JOYOBOYO FIX SPC,RUAS,Warning Light Depan Pintu Keluar Joyoboyo,112.7363848,-7.298504694,TELKOM,SELATAN,HIKVISION,DS-2DY3320IW-DE
